,precision,recall,f1-score,support
0,0.5093023255813953,0.4101123595505618,0.45435684647302904,534.0
1,0.6098829648894668,0.6415868673050615,0.6253333333333333,731.0
2,0.10655737704918032,0.23214285714285715,0.14606741573033707,56.0
accuracy,0.5306585919757759,0.5306585919757759,0.5306585919757759,0.5306585919757759
macro avg,0.4085808891733475,0.42794736133282685,0.4085858651788998,1321.0
weighted avg,0.5478872841100829,0.5306585919757759,0.5359008311613649,1321.0
