Alcohol Present,Distracted in Driving,height,weight,Age,Sex,Race,premovement before collision,Body Category,Pre-event Location,Curb Weight,Model Year,Clock-form Direction of force,Speed Limit,Number of lanes,Traffic Condition,Surface Condition,Surface Type,Uphill or Downhill,Crash Type,Lighting Condition,Related to Intersection,Traffic Conrtol Functioning,Climate,Alignment of Road,CASEWGT,year,month,Day in Week
0.0,1.0,185,77,24,1,2,1,1,1,1790,2004,310,80,4,1,1,2,1,4,1,2,2,1,1,766,2013,9,4
0.0,2.0,172,84,63,1,1,1,1,1,1823,2015,0,48,4,1,1,2,1,1,1,2,2,1,1,387,2019,8,6
0.0,2.0,188,73,24,1,1,14,0,6,1470,2007,70,89,2,0,1,2,2,6,1,2,0,8,2,28,2009,9,3
0.0,2.0,170,75,61,2,1,2,1,1,1660,2006,0,72,5,1,1,2,1,1,1,2,2,1,1,459,2009,9,5
0.0,1.0,165,100,55,2,1,11,1,1,1440,2005,40,56,4,1,1,2,1,4,1,2,2,1,1,204,2011,2,2
0.0,1.0,183,84,29,1,1,15,0,2,1373,2011,170,113,4,0,1,2,1,1,5,0,0,8,1,405,2018,12,5
0.0,2.0,163,57,16,2,2,11,0,1,1210,2001,40,64,5,1,1,2,1,4,3,2,2,1,3,1498,2009,11,4
0.0,1.0,160,75,94,2,1,1,0,1,1630,2006,20,40,2,2,1,2,1,4,1,2,2,1,1,1316,2017,11,5
0.0,1.0,152,82,63,2,1,1,1,1,1570,2011,0,56,5,1,1,2,2,1,3,2,2,1,1,2,2012,1,2
0.0,1.0,168,59,26,2,1,1,0,1,1330,2002,0,56,4,0,1,2,1,1,1,0,0,1,1,1036,2010,9,6
0.0,2.0,170,64,22,2,1,11,0,1,1580,2005,210,40,2,0,1,2,1,4,1,2,0,1,1,87,2009,9,6
0.0,2.0,170,82,48,2,1,14,2,2,1810,2005,350,105,2,0,1,2,4,5,1,0,0,1,3,209,2011,5,5
0.0,1.0,180,68,19,1,1,1,0,1,1580,2008,320,89,5,1,2,2,2,4,3,2,2,8,1,103,2009,10,7
0.0,1.0,178,113,25,1,1,1,0,1,1500,2004,340,64,2,0,1,2,1,6,2,0,0,1,1,296,2022,11,4
0.0,2.0,165,100,53,2,1,1,1,1,1880,2006,60,48,2,1,1,2,1,4,1,2,2,1,1,504,2012,5,5
0.0,1.0,168,52,16,2,1,11,0,1,1236,2013,310,72,3,2,1,2,1,4,1,2,2,1,1,216,2019,5,5
0.0,1.0,188,100,39,1,1,1,3,1,2360,2009,50,72,2,2,1,2,1,4,1,2,2,8,1,255,2013,5,3
0.0,1.0,173,75,54,1,3,2,1,1,1970,2009,190,48,3,0,1,2,1,1,1,0,0,1,1,43,2011,9,2
0.0,1.0,170,93,61,2,2,1,0,2,1520,2008,340,56,4,1,1,2,1,4,5,2,2,1,1,85,2009,4,3
0.0,1.0,173,120,38,1,1,1,3,1,2450,2007,350,72,4,1,1,2,1,4,1,2,2,1,1,131,2009,9,3
0.0,1.0,170,100,49,2,1,11,1,1,2370,2012,70,72,2,0,1,2,1,4,1,3,0,1,1,129,2014,4,3
0.0,1.0,175,85,56,1,2,11,0,1,1730,2006,50,64,5,0,1,1,1,4,1,2,0,1,1,124,2009,7,4
