,precision,recall,f1-score,support
0,0.5242718446601942,0.4550561797752809,0.48721804511278194,712.0
1,0.6106014271151886,0.6143589743589744,0.6124744376278118,975.0
2,0.08024691358024691,0.17567567567567569,0.11016949152542373,74.0
accuracy,0.5315161839863713,0.5315161839863713,0.5315161839863713,0.5315161839863713
macro avg,0.4050400617852099,0.4150302766033103,0.4032873247553392,1761.0
weighted avg,0.5534106850881916,0.5315161839863713,0.5407236610904592,1761.0
