,precision,recall,f1-score,support
0,0.49922958397534667,0.4550561797752809,0.4761204996326231,712.0
1,0.6039783001808319,0.6851282051282052,0.6419990389235944,975.0
2,0.5,0.04054054054054054,0.075,74.0
accuracy,0.5650198750709824,0.5650198750709824,0.5650198750709824,0.5650198750709824
macro avg,0.5344026280520595,0.3935749751480089,0.3977065128520725,1761.0
weighted avg,0.5572574142343883,0.5650198750709824,0.5511055415610063,1761.0
