,precision,recall,f1-score,support
0,0.5411764705882353,0.45224719101123595,0.49273144605967867,712.0
1,0.6194503171247357,0.601025641025641,0.6100989068193649,975.0
2,0.08636363636363636,0.25675675675675674,0.12925170068027209,74.0
accuracy,0.5264054514480409,0.5264054514480409,0.5264054514480409,0.5264054514480409
macro avg,0.4156634746922025,0.4366765295978779,0.41069401785310516,1761.0
weighted avg,0.5654018258639125,0.5264054514480409,0.5424394375887064,1761.0
