,precision,recall,f1-score,support
0,0.5315487571701721,0.3904494382022472,0.45020242914979763,712.0
1,0.6100217864923747,0.5743589743589743,0.5916534601162176,975.0
2,0.084375,0.36486486486486486,0.13705583756345177,74.0
accuracy,0.49119818285065303,0.49119818285065303,0.49119818285065303,0.49119818285065303
macro avg,0.4086485145541823,0.4432244258086955,0.39297057560982235,1761.0
weighted avg,0.5562053986003566,0.49119818285065303,0.5153596735648288,1761.0
