,precision,recall,f1-score,support
0,0.5077720207253886,0.41292134831460675,0.4554608830364059,712.0
1,0.5911799761620977,0.5087179487179487,0.5468577728776185,975.0
2,0.08746355685131195,0.40540540540540543,0.14388489208633093,74.0
accuracy,0.46564452015900054,0.46564452015900054,0.46564452015900054,0.46564452015900054
macro avg,0.3954718512462661,0.442348234145987,0.3820678493334518,1761.0
weighted avg,0.5362898686663936,0.46564452015900054,0.49297101606586463,1761.0
