,precision,recall,f1-score,support
0,0.5352697095435685,0.36235955056179775,0.4321608040201005,712.0
1,0.600942655145326,0.7846153846153846,0.6806049822064056,975.0
2,0.3333333333333333,0.02702702702702703,0.05,74.0
accuracy,0.5820556501987507,0.5820556501987507,0.5820556501987507,0.5820556501987507
macro avg,0.4898485660074092,0.39133398740140307,0.3875885954088354,1761.0
weighted avg,0.5631446840592732,0.5820556501987507,0.5536560761576134,1761.0
