,precision,recall,f1-score,support
0,0.5074626865671642,0.5730337078651685,0.5382585751978891,712.0
1,0.631578947368421,0.4430769230769231,0.5207956600361663,975.0
2,0.08791208791208792,0.32432432432432434,0.138328530259366,74.0
accuracy,0.4906303236797274,0.4906303236797274,0.4906303236797274,0.4906303236797274
macro avg,0.40898457394922433,0.44681165175547194,0.39912758849780716,1761.0
weighted avg,0.5585510511218206,0.4906303236797274,0.5117843187480706,1761.0
