,precision,recall,f1-score,support
0,0.48739495798319327,0.5702247191011236,0.5255663430420712,712.0
1,0.6265664160401002,0.5128205128205128,0.5640157924421884,975.0
2,0.13076923076923078,0.22972972972972974,0.16666666666666666,74.0
accuracy,0.5241340147643384,0.5241340147643384,0.5241340147643384,0.5241340147643384
macro avg,0.4149102015975081,0.43759165388378873,0.41874960071697537,1761.0
weighted avg,0.5494630260079809,0.5241340147643384,0.531772837711767,1761.0
