iter	Passed	Remaining
139	3535	21718
140	3563	21707
141	3592	21709
142	3619	21689
143	3642	21654
144	3667	21627
145	3694	21612
146	3720	21589
147	3745	21561
148	3769	21528
149	3793	21495
150	3817	21465
151	3840	21423
152	3872	21435
153	3895	21397
154	3918	21360
155	3940	21320
156	3964	21287
157	3987	21251
158	4013	21227
159	4036	21189
160	4060	21161
161	4084	21126
162	4107	21092
163	4133	21071
164	4157	21037
165	4189	21048
166	4213	21014
167	4237	20987
168	4263	20965
169	4288	20936
170	4313	20909
171	4342	20904
172	4367	20877
173	4394	20860
174	4418	20830
175	4443	20802
176	4470	20786
177	4494	20757
178	4523	20746
179	4547	20716
180	4575	20704
181	4607	20709
182	4637	20705
183	4665	20690
184	4688	20655
185	4715	20635
186	4742	20617
187	4777	20635
188	4809	20635
189	4832	20599
190	4863	20598
191	4890	20582
192	4915	20551
193	4938	20518
194	4964	20494
195	4988	20463
196	5013	20433
197	5040	20415
198	5066	20392
199	5088	20354
200	5113	20326
201	5149	20343
202	5176	20323
203	5199	20287
204	5229	20278
205	5260	20274
206	5285	20246
207	5307	20209
208	5337	20199
209	5362	20174
210	5386	20140
211	5408	20103
212	5445	20118
213	5468	20083
214	5492	20054
215	5515	20020
216	5540	19991
217	5562	19953
218	5587	19925
219	5614	19905
220	5650	19916
221	5674	19885
222	5696	19849
223	5725	19833
224	5749	19804
225	5774	19775
226	5798	19745
227	5822	19713
228	5844	19677
229	5869	19648
230	5895	19626
231	5918	19592
232	5941	19558
233	5964	19525
234	5989	19496
235	6012	19463
236	6035	19430
237	6058	19396
238	6084	19373
239	6109	19345
240	6134	19320
241	6166	19313
242	6193	19293
243	6226	19293
244	6252	19268
245	6278	19242
246	6302	19213
247	6325	19181
248	6352	19158
249	6381	19144
250	6407	19119
251	6432	19094
252	6460	19075
253	6487	19053
254	6511	19023
255	6533	18989
256	6557	18956
257	6580	18924
258	6613	18921
259	6640	18901
260	6663	18867
261	6689	18843
262	6718	18827
263	6745	18805
264	6771	18781
265	6799	18761
266	6826	18739
267	6849	18707
268	6874	18681
269	6898	18651
270	6931	18644
271	6954	18613
272	6979	18585
273	7010	18574
274	7036	18550
275	7061	18524
276	7090	18507
277	7118	18486
278	7150	18479
279	7179	18460
280	7207	18440
281	7236	18424
282	7271	18422
283	7294	18391
284	7317	18358
285	7340	18326
286	7363	18294
287	7396	18284
288	7427	18272
289	7454	18250
290	7478	18221
291	7512	18215
292	7536	18184
293	7563	18163
294	7588	18135
295	7612	18104
296	7638	18080
297	7667	18063
298	7696	18044
299	7721	18016
300	7751	18001
301	7775	17971
302	7801	17945
303	7824	17912
304	7848	17883
305	7871	17851
306	7896	17825
307	7920	17795
308	7947	17771
309	7970	17741
310	7996	17715
311	8022	17689
312	8051	17671
313	8078	17649
314	8103	17621
315	8132	17603
316	8158	17578
317	8183	17551
318	8206	17519
319	8231	17491
320	8255	17462
321	8283	17442
322	8308	17414
323	8331	17383
324	8363	17370
325	8396	17358
326	8422	17333
327	8445	17302
328	8467	17270
329	8490	17237
330	8516	17212
331	8542	17187
332	8568	17161
333	8590	17130
334	8614	17100
335	8637	17069
336	8665	17047
337	8690	17021
338	8719	17001
339	8743	16972
340	8767	16943
341	8799	16929
342	8823	16901
343	8848	16873
344	8873	16845
345	8898	16819
346	8932	16808
347	8957	16781
348	8980	16750
349	9004	16721
350	9031	16698
351	9058	16676
352	9087	16656
353	9111	16627
354	9139	16605
355	9163	16575
356	9187	16547
357	9210	16517
358	9235	16489
359	9258	16459
360	9282	16431
361	9313	16414
362	9338	16386
363	9366	16366
364	9390	16337
365	9414	16307
366	9439	16280
367	9462	16250
368	9488	16226
369	9511	16194
370	9536	16168
371	9559	16137
372	9591	16122
373	9622	16106
374	9646	16078
375	9679	16063
376	9706	16040
377	9734	16017
378	9757	15988
379	9793	15978
380	9821	15956
381	9851	15937
382	9876	15910
383	9900	15881
384	9934	15868
385	9957	15839
386	9981	15809
387	10008	15787
388	10032	15758
389	10057	15731
390	10084	15706
391	10117	15691
392	10148	15675
393	10185	15666
394	10210	15639
395	10236	15613
396	10260	15584
397	10291	15566
398	10319	15544
399	10347	15520
400	10374	15496
401	10399	15470
402	10423	15441
403	10452	15419
404	10475	15389
405	10499	15361
406	10523	15332
407	10547	15303
408	10575	15280
409	10605	15261
410	10638	15245
411	10663	15218
412	10686	15189
413	10709	15159
414	10734	15131
415	10758	15103
416	10782	15074
417	10806	15046
418	10831	15019
419	10856	14992
420	10881	14964
421	10906	14938
422	10934	14914
423	10959	14888
424	10982	14859
425	11015	14842
426	11047	14825
427	11072	14798
428	11100	14774
429	11133	14758
430	11166	14741
431	11203	14729
432	11235	14712
433	11264	14690
434	11288	14661
435	11319	14642
436	11347	14618
437	11370	14589
438	11392	14558
439	11414	14527
440	11437	14497
441	11460	14467
442	11483	14439
443	11507	14410
444	11531	14382
445	11555	14353
446	11580	14326
447	11607	14301
448	11632	14274
449	11658	14249
450	11686	14225
451	11708	14195
452	11730	14164
453	11759	14142
454	11784	14114
455	11815	14095
456	11843	14071
457	11873	14051
458	11897	14023
459	11920	13993
460	11956	13979
461	11981	13952
462	12014	13934
463	12038	13906
464	12064	13880
465	12091	13856
466	12117	13829
467	12141	13801
468	12165	13774
469	12189	13745
470	12214	13718
471	12236	13688
472	12263	13663
473	12290	13638
474	12313	13609
475	12350	13595
476	12374	13567
477	12404	13545
478	12427	13517
479	12453	13490
480	12477	13463
481	12508	13443
482	12540	13423
483	12567	13398
484	12591	13370
485	12615	13341
486	12643	13318
487	12668	13291
488	12691	13262
489	12724	13243
490	12747	13214
491	12772	13187
492	12798	13161
493	12829	13140
494	12857	13116
495	12882	13090
496	12906	13061
497	12929	13033
498	12952	13004
499	12980	12980
500	13008	12956
501	13030	12926
502	13053	12898
503	13078	12870
504	13102	12842
505	13128	12817
506	13160	12797
507	13186	12770
508	13209	12742
509	13242	12723
510	13266	12695
511	13289	12666
512	13317	12642
513	13340	12614
514	13369	12590
515	13394	12563
516	13418	12536
517	13441	12507
518	13463	12477
519	13488	12451
520	13511	12422
521	13534	12393
522	13557	12364
523	13580	12336
524	13603	12307
525	13627	12280
526	13652	12253
527	13678	12228
528	13709	12206
529	13732	12178
530	13756	12150
531	13784	12125
532	13809	12099
533	13838	12076
534	13861	12048
535	13886	12021
536	13913	11996
537	13945	11975
538	13969	11948
539	13992	11919
540	14015	11891
541	14039	11863
542	14062	11835
543	14087	11808
544	14110	11779
545	14137	11755
546	14163	11729
547	14190	11704
548	14215	11677
549	14241	11652
550	14265	11624
551	14290	11597
552	14316	11572
553	14344	11548
554	14371	11523
555	14395	11495
556	14418	11467
557	14440	11438
558	14462	11409
559	14494	11388
560	14526	11367
561	14556	11344
562	14582	11318
563	14607	11292
564	14629	11263
565	14652	11235
566	14675	11207
567	14699	11179
568	14725	11153
569	14748	11125
570	14772	11098
571	14796	11071
572	14827	11049
573	14857	11026
574	14880	10998
575	14903	10970
576	14926	10942
577	14950	10915
578	14973	10887
579	14997	10860
580	15020	10832
581	15045	10805
582	15068	10777
583	15100	10756
584	15127	10731
585	15152	10705
586	15175	10677
587	15199	10650
588	15223	10622
589	15247	10595
590	15281	10575
591	15308	10550
592	15330	10522
593	15364	10501
594	15394	10478
595	15420	10452
596	15443	10424
597	15467	10397
598	15495	10373
599	15527	10351
600	15552	10325
601	15586	10304
602	15613	10279
603	15641	10254
604	15663	10226
605	15697	10206
606	15724	10180
607	15747	10153
608	15770	10125
609	15795	10098
610	15819	10071
611	15845	10046
612	15869	10018
613	15895	9992
614	15918	9965
615	15940	9936
616	15967	9911
617	15993	9885
618	16017	9859
619	16040	9831
620	16073	9809
621	16099	9783
622	16123	9757
623	16147	9729
624	16172	9703
625	16195	9676
626	16219	9648
627	16250	9626
628	16275	9599
629	16303	9574
630	16335	9552
631	16363	9528
632	16389	9502
633	16414	9475
634	16438	9448
635	16461	9421
636	16488	9396
637	16513	9369
638	16545	9347
639	16568	9319
640	16599	9296
641	16626	9271
642	16653	9246
643	16677	9219
644	16704	9193
645	16727	9166
646	16752	9140
647	16777	9113
648	16801	9086
649	16823	9058
650	16850	9033
651	16873	9006
652	16896	8978
653	16920	8952
654	16945	8925
655	16969	8898
656	16995	8872
657	17017	8844
658	17040	8817
659	17065	8791
660	17088	8764
661	17119	8740
662	17148	8716
663	17176	8691
664	17203	8666
665	17232	8642
666	17257	8615
667	17286	8591
668	17310	8564
669	17334	8537
670	17357	8510
671	17380	8483
672	17407	8457
673	17430	8430
674	17458	8405
675	17482	8379
676	17517	8357
677	17546	8333
678	17579	8310
679	17604	8284
680	17637	8262
681	17662	8235
682	17690	8210
683	17717	8185
684	17739	8157
685	17761	8130
686	17786	8103
687	17815	8079
688	17839	8052
689	17868	8027
690	17891	8000
691	17916	7974
692	17945	7950
693	17976	7926
694	18043	7918
695	18087	7900
696	18126	7880
697	18166	7860
698	18207	7840
699	18247	7820
700	18279	7796
701	18307	7771
702	18335	7746
703	18359	7719
704	18391	7695
705	18420	7670
706	18444	7643
707	18468	7616
708	18493	7590
709	18520	7564
710	18551	7540
711	18579	7515
712	18605	7489
713	18629	7462
714	18657	7437
715	18680	7409
716	18704	7382
717	18727	7355
718	18753	7329
719	18777	7302
720	18805	7276
721	18832	7251
722	18856	7224
723	18884	7198
724	18910	7172
725	18934	7145
726	18963	7120
727	18989	7094
728	19012	7067
729	19037	7041
730	19060	7013
731	19082	6986
732	19106	6959
733	19133	6933
734	19161	6908
735	19184	6881
736	19215	6857
737	19247	6833
738	19272	6806
739	19294	6779
740	19317	6751
741	19345	6726
742	19369	6699
743	19395	6673
744	19421	6647
745	19447	6621
746	19476	6596
747	19507	6571
748	19532	6545
749	19555	6518
750	19584	6493
751	19617	6469
752	19646	6444
753	19671	6418
754	19701	6393
755	19725	6366
756	19751	6340
757	19779	6314
758	19803	6287
759	19829	6262
760	19854	6235
761	19877	6208
762	19902	6181
763	19926	6155
764	19949	6128
765	19971	6100
766	19993	6073
767	20017	6046
768	20039	6019
769	20064	5993
770	20087	5966
771	20117	5941
772	20140	5914
773	20162	5887
774	20186	5860
775	20211	5834
776	20234	5807
777	20258	5780
778	20281	5753
779	20311	5728
780	20340	5703
781	20367	5677
782	20395	5652
783	20420	5626
784	20446	5600
785	20470	5573
786	20492	5546
787	20525	5522
788	20555	5497
789	20580	5470
790	20604	5444
791	20641	5420
792	20670	5395
793	20695	5369
794	20719	5342
795	20744	5316
796	20768	5289
797	20793	5263
798	20820	5237
799	20855	5213
800	20887	5189
801	20920	5164
802	20943	5138
803	20975	5113
804	21012	5089
805	21038	5063
806	21063	5037
807	21087	5010
808	21118	4985
809	21141	4959
810	21170	4933
811	21194	4907
812	21228	4882
813	21253	4856
814	21276	4829
815	21308	4804
816	21338	4779
817	21364	4753
818	21388	4726
819	21414	4700
820	21443	4675
821	21470	4649
822	21493	4622
823	21521	4596
824	21550	4571
825	21575	4545
826	21600	4518
827	21623	4491
828	21649	4465
829	21676	4439
830	21700	4413
831	21725	4386
832	21747	4360
833	21771	4333
834	21799	4307
