,precision,recall,f1-score,support
0,0.5,0.5463483146067416,0.5221476510067115,712.0
1,0.6147342995169082,0.522051282051282,0.5646145313366612,975.0
2,0.1032258064516129,0.21621621621621623,0.13973799126637557,74.0
accuracy,0.5190232822260079,0.5190232822260079,0.5190232822260079,0.5190232822260079
macro avg,0.405986701989507,0.42820527095808,0.4088333912032494,1761.0
weighted avg,0.5468510231155053,0.5190232822260079,0.529590520683552,1761.0
